# road_aura_raw.tsv - GERADO por road_aura_parse.ps1 em 2026-09-03. NAO editar a mao.
# bid = <livro>:<pag_impressa>, e e a chave que road_aura_map.tsv e road_aura_overrides.tsv usam.
# bid<TAB>rotulo<TAB>nome<TAB>prosa
da:117:1	Aura	Menace	The Beast is welcome in the Apostate’s skin, and it shows not only in the penetration of her stare, but in the flickering reflection of her soul. The Beast, in many ways, is her spirit, and its dangerous lust for survival at all costs paints savage shadows and blood all over her aura.
da:120:1	Aura	Holiness	The Faithful receive bonuses whenever they are in situations where being seen as holy would lend them social advantage.
da:122:1	Aura		The Cainite walking the Road of Humanity strives to emulate her past state wherever possible. In matters of empathy and mutual understanding with mortals, her Aura will influence the outcome. THE ROADS WE WALK 122 Score 10 9 8 7 6 5 4 3 2 1 HIERARCHY OF SINS AGAINST THE SOUL Minimum Wrongdoing Selfish thoughts Minor selfish acts Injury to another Theft Accidental violation of another Wanton destruction Impassioned violation of another Planned violation of another Casual violation of another The most monstrous, vile acts Rationale If it can be thought, it can be done. Putting oneself first lets the Beast in. Accidental or not, there is still blood on your hands. Only an animal takes without thought of consequence Humanity is a shared condition, his suffering is your own. Are you a person or an animal? Passion behind violence is the whispering of the Beast. To be so cold is to reject the warmth of humanity. Even wild animals know better. Are you a person or a monster?
da:126:1	Aura	Command	Luminaries are self-possessed and confident in their right to rule. Others can feel their commanding presence like a chain placed around the neck.
da:129:1	Aura	Carved and bleeding	A Bahari’s aura manifests as any other vampire’s might, though chunks and swirls may the road of lilith 129 HIERARCHY OF SINS AGAINST WHO YOU ARE Score 10 9 8 7 6 5 4 3 2 1 Minimum Wrongdoing Rationale Feeding immediately when hungry There is a lesson in every denial, and there is control in self-denial. Joining a system created by those with no wisdom Live outside their lies. Ignoring one of Lilith’s faces Wherever you go, the Dark Mother has left messages for you. Read their myths and show them where Lilith lives. Rejecting the suffering of others or dismissing Teach whenever the opportunity presents itself, even if you think the it lessons learned would be beneath you. Cruelty for its own sake As a teacher, you must craft your lessons. Petty abuses are beneath you. The pain you inflict must be divine. Stealing great learning and claiming it as your own If you did not discover the wisdom yourself, you have no rights claiming it or authority based on it. Destroying a thinking being They can neither learn from you nor teach you if they have been destroyed. Not seeking out the teachings of Lilith Turn over the leaf, split the wood, and find her secrets wherever they hide. Getting between someone and a valuable lesson Better to pull the stars from the heavens than to rob someone of moments of true gnosis. Shunning pain The harder it is, the more rewarding the growth. appear carved out of the whole. If one concentrates, they might think they see symbols in these shifting carvings, but can catch none of them. Further, the aura seems to bleed or drip, making the “carvings” appear more like wounds. Acts of creation and mentorship receive the character’s aura modifier.
da:133:1	Aura	Inhumanity	Seekers are decidedly alien, having worked so very hard to cast aside their own humanity. Modifiers apply anytime another’s fear, anxiety, or discomfort might impact a roll.
da:135:1	Aura	Temptation	The Sinners are free and their Road full of promise, and they are adept at recognizing the desires of others. Their aura modifier affects rolls to cajole and entice.
da:140:1	Aura	Silence	The stillness of the grave and the hush of quiet study surround followers of this road. Their aura modifier applies to all Stealth rolls.
da:141:1	Aura	Trust	Those above you trust you will do your duty obediently. Those beneath you trust you will treat them fairly. Enemies trust you will respect them by doing everything in your power to defeat them. The aura modifier affects Leadership rolls applied against subordinates, and Intimidation rolls against enemies.
da:432:1	Aura	Resolve	A follower of the Road of Blood takes his task seriously and is dedicated to following through. The aura modifier affects Willpower rolls.
da:445:1	Aura	Confidence	The Asura are certain that they are always where they should be, doing what they are meant to do. Their confidence washes over others, inspiring them to great things.
da:448:1	Aura		The Aura of Samiel’s chosen helps with any attempt to put oneself in harm’s way for another.
core:316:1	Bearing	Resolve	Followers of the Path of Blood know the seriousness of their task and are incredibly dedicated to it. Their aura modifier affects Willpower rolls.
core:318:1	Bearing	Silence	The Gravediggers, accustomed as they are to long hours of quiet study and contemplation of the grave, radiate the stillness of death. The bearing modifier applies to rolls involving Stealth and attempts to go unnoticed.
core:320:1	Bearing	Faith	The righteousness of the Cainite is apparent to all. The bearing modifier affects all rolls that rely on the vampire’s image as a devout Kindred and scholar of Caine’s teachings.
core:323:1	Bearing	Seduction	The Cathari are temptation incarnate, and they have an uncanny knack for knowing the desires of others. The bearing modifier affects rolls to tempt and seduce others.
core:324:1	Bearing	Menace	Those in the presence of a Beast know that she is a true hunter, just as deer do when confronting a wolf. The bearing modifier applies to rolls aimed at terrifying or cowing an opponent.
core:326:1	Bearing	Devotion	The Knights keep their word, and are very difficult to sway from their duty. The bearing modifier affects rolls to resist attempts to manipulate or force them to go against their given purpose.
core:329:1	Bearing	Tribulation	The Bahari see enlightenment through pain and conflict, and they learn to turn pain to their advantage. The bearing modifier affects rolls impacted by their own wound penalties.
core:331:1	Bearing	Inhumanity	Metamorphosists work steadily to become something other than human. Bearing modifiers apply to Intimidation, as well as any Manipulation rolls that can be positively affected by frightening the target.
core:332:1	Bearing	Darkness	Nihilists give off a faint air of inner darkness, inspiring those around them to dwell on their darkest fears and thoughts. Their bearing modifier applies to any attempts to bring out a victim’s inner darkness, such as eliciting dirty secrets from a wellrespected politician or convincing a saint to break her vow of chastity.
core:335:1	Bearing	Confidence	The Shilmulo believe that they are in the exact place and time they are meant to be, doing what they are meant to do — and it shows. The bearing modifier applies to attempts to manipulate or lead others.
core:336:1	Bearing	Command	Unifiers are destined for power, and they know it. Those around them can feel their commanding presence. Their bearing modifier affects rolls to command or lead others.
core:338:1	Bearing	Devotion	The Theophidians do everything with an eye to how they might best serve Set. The bearing modifier aids in attempts to win converts and in rolls to resist powers based on other faiths (such as True Faith – see p. 372).
bh:53:1	Bearing	Justice	Abelenes carry an atmosphere of divine retribution. Their bearing modifier affects rolls to convince others of the righteousness of their actions.
bh:55:1	Bearing	Intellect	Unforgiving are not easily swayed by appeals to emotion. Their bearing modifier affects rolls meant to influence them through Social Attributes.
bh:58:1	Bearing	Balance	Those around Internalists are relaxed by their peaceful presence. Their bearing modifier affects rolls to avoid confrontation or calm others down.
bh:115:1	Bearing	Otherworldly	Followers adopt an alien demeanor. Most utilize their Vicissitude constantly. Even when they attempt to blend in, all but the cleverest make unusual mistakes, marking themselves as beings unfamiliar with the human world. They ignore social conventions and stare in odd directions. An Asakku’s bearing modifier applies to Awareness and Occult rolls to sense supernatural energies.
lotc:51:1	Bearing	Stoicism	The Philosophers bring a pragmatism to undeath that allows them to maintain equanimity in the face of the childish taunts and cruel barbs of their less enlightened Kindred. The bearing modifier adds on all rolls to resist frenzy when provoked by insults or other deliberately provocative actions by others. It does not affect frenzy rolls triggered by other forms of rage-inducing stimuli.
lotc:70:1	Bearing	Rapture	Ecstatics know how to use earthly sensations and passions to transcend the mundane. Their bearing modifier affects rolls to excite extreme Alternative Children of Damballah To better facilitate their mystical senses and dealings with the spirits, the Children of Damballah (and the Serpents of the Light, who are their offshoot) may take this alternative Discipline spread: Auspex, Presence, and Serpentis. They also gain the following Weakness: The Children of Damballah have dealings with the spirit world, and such contact requires nightly offerings to avoid offending the spirits. The offering requires a ten-minute ritual and a Charisma + Occult roll (difficulty 8). Should the player fail the roll or refuse to make the offering, the character suffers from the Haunted Flaw (see V20, p. 495) for the rest of the evening. and transformative emotional responses in themselves and others.
lotc:72:1	Bearing	Fury	The Wraths burn with divine rage. Their bearing modifier applies to cowing others (Intimidation rolls) and even their own Beasts (rolls to resist both frenzy and Rötschreck).
dac:70:1	Aura	Melancholia	A Childe of the Archangel applies modifiers whenever her great loss and longing would engender a reaction, or when being seen as a martyr is relevant. Constantine Reverie My childe, I assure you that all the tales you have heard of this mesmerizing city are absolutely true. Last night I took in the sights at the Grand Bazaar and there I found a small den hung with tapestries, where one of our Clan entreated me to join in what she called the “Constantine Reverie.” A Milanese, you know, not one of the natives. I’m told the Greek Toreador here labor under a terrible curse of madness! I regret not to have seen them yet. THE DOMAIN OF CONSTANTINOPLE 70 SINS AGAINST THE ARCHANGEL Score Minimum Wrongdoing 10 Indulging in any temptation 9 Going one night without performing any creative work 8 Turning away from those who need inspiration 7 Refusing to make a minor sacrifice 6 Leaving fellow Toreador to languish unbaptized 5 Going one week without performing any creative work 4 Indulging in temptations of the flesh 3 Abandoning any in your charge 2 Giving in to your Beast, such as frenzy 1 Refusing to make a major sacrifice Rationale True katharsis purges all passions. In art, we illuminate truth. An angel’s work is in guiding the lost. Shedding earthly things brings us closer to divinity. We are all Michael’s chosen. Art is how the soul worships. In katharsis we renounce carnal passions. We must earn the worship of the flock. Katharsis purges our basest urges first and foremost. We follow Michael’s example in all things. The den was lit with blue lanterns and incense smoke rose like a thick mist. My host invited me to enjoy the company of carefully-selected kine who partook of every pleasing substance imaginable — the servants brought opium, khat, hashish, belladonna, mandragora, and creations of their own unfamiliar to me. Beautiful boys danced for our pleasure and an oud player performed exquisite music to tantalize the ear. At midnight, a series of chimes signaled us to begin the feeding, and you cannot imagine the euphoria. Such seduction of the senses I have never before found, nor I fear will I ever find again. No mere vitae, this, but a sublime nectar that utterly hypnotized me. It was then that I first saw the true Constantinople, the paradise touched by the hand of God that you hear of in the verses of the trobairitz. The hand of God…I tasted it, then, in the blood of these Hellenes, and I wept. Once we all had fed, the chimes sounded again and our host led us on a tour of the city’s most captivating corners. I swear to you, the curtain of time parted for us. I saw the Dream they mourn painted in gold and silver before my eyes. We watched the gladiators fight for our amusement, we rode with the charioteers and felt the wind lash our faces, and we heard the haunting eventide hymns of the ghouls at the Hagia Sophia. We basked in the beauty of vibrant statues and mosaics, and sampled the Bazaar’s most forbidden wares. We dallied in the private pleasure gardens of the Roman villas and marveled at the hues of Syrian silks. As the night wore on and we saw the past fade, we sought comfort in each other’s arms at the great loss we suffered. I have walked the night for centuries, and in all that time I have never felt such an emptiness. My host opens her doors every night, choosing with a discerning eye from among those mortals and Cainites who flock to the Bazaar. Amidst our kind were those of many Clans — I never thought to see a Gangrel brute sobbing in the embrace of a Tremere sorcerer, but such is the power of the Constantine Dream. I pray you find your way here some night, and I pray you stumble across the hidden jewel of the Grand Bazaar as I did. TOREADOR APOCRYPHA 71
dac:84:1	Aura		Vampires on the Road of Angra Mainyu carry an aura of corruption. Their voices are honeyed and they gain a +2 dice bonus to persuade people to evil. Vampires on the Road of Ahura Mazda gain an aura of goodness. They can spend two Willpower during frenzy to name something they absolutely won’t do, i.e. “I won’t harm that child.” (“I won’t harm any children” is too broad, and the child of the first example is still fair game in a later frenzy.)
