# clan_weakness.tsv - the WEAKNESS of each of the 61 clans of PICKER_LIST[clan] (SPEC I148d, T970, V434b).
# T970, 184a rodada 2026-09-05. Cabecalho ASCII por convencao; o DADO nao e (V411b).
#
# nome_picker<TAB>fonte<TAB>pag<TAB>en<TAB>pt
#
# fonte: core = V20 core | lob = Lore of the Bloodlines | bh = The Black Hand | anarch = Anarchs Unbound
# pag = pagina IMPRESSA onde o paragrafo Weakness: esta (pode ser a 2a pagina do verbete).
#
# FORMA: o paragrafo `Weakness:` do verbete, VERBATIM (decisao de T970) - o texto vai para a pane
# de descricao (rolavel), nao para o box de 128px da aba Ghoul, que so mostra FAMILIA (V412d).
# Chave VERBATIM da lista (V24): `Gangrel (Marine)`, `Salubri (Wu Zao / Watchers)` (renomeados em T973).
#
# 2 verbetes SEM linha `Weakness:` rotulada, e a linha carrega a frase que o livro da no lugar:
#   Panders  - core p.431: "Panders do not have a specific weakness" + o piso de Geracao.
#   Caitiff  - o verbete (anarch p.39) e prosa; a unica mecanica e a do core p.124 (Disciplinas x6).
# Children of Osiris - core p.421: "As appropriate for the character's original Clan." (e o que o livro diz).
#
# Termos em pt seguem os que a ficha JA usa (medidos nos desc*_pt.lua e em family_weakness.tsv):
# laco de sangue, frenesi, agravado, Abraco, Perturbacao, Vigor, Autocontrole/Instintos, Forca de Vontade.
Assamite	core	49	Due to the Tremere blood-curse, should an Assamite consume the blood of another Kindred, she suffers one automatic level of unsoakable lethal damage per blood point imbibed. Diablerie attempts result in automatic aggravated damage, one health level per point of permanent Willpower the victim possesses; the would-be diablerist gains no benefits (including Generation reduction) if he survives the process. In addition, Assamites must tithe some of the profits from their contracts to their sires or superiors (generally around 10 percent of all such earnings).	Por causa da maldição de sangue dos Tremere, se um Assamita consome o sangue de outro Membro, sofre um nível automático de dano letal não absorvível por ponto de sangue bebido. Tentativas de diablerie resultam em dano agravado automático, um nível de vitalidade por ponto de Força de Vontade permanente da vítima; o pretenso diablerista não ganha benefício algum (incluindo redução de Geração) se sobrevive ao processo. Além disso, os Assamitas devem entregar parte dos lucros de seus contratos aos seus senhores ou superiores (em geral cerca de 10 por cento de todos esses ganhos).
Brujah	core	51	The same passions that inspire Brujah to greatness or depravity, left unchecked, can send them into incandescent rages: The difficulties of rolls to resist or guide frenzy (p. 298) are two higher than normal. Additionally, a Brujah may never spend Willpower to avoid frenzy, though he may spend a point of Willpower to end a frenzy that has already begun.	As mesmas paixões que levam os Brujah à grandeza ou à depravação, quando não contidas, podem lançá-los em fúrias incandescentes: as dificuldades dos testes para resistir ao frenesi ou guiá-lo (p. 298) são duas acima do normal. Além disso, um Brujah nunca pode gastar Força de Vontade para evitar o frenesi, embora possa gastar um ponto de Força de Vontade para encerrar um frenesi já iniciado.
Followers of Set	core	53	Given their origins in darkness, the Serpents react negatively to bright light: Add two health levels to damage caused by exposure to sunlight. Setites also lose one die from dice pools for actions taken in bright light (police spotlights, stage lights, flares, etc.).	Dadas suas origens nas trevas, as Serpentes reagem mal à luz forte: acrescente dois níveis de vitalidade ao dano causado pela exposição à luz do sol. Os Setitas também perdem um dado das paradas de dados em ações realizadas sob luz intensa (holofotes da polícia, luzes de palco, sinalizadores etc.).
Gangrel	core	55	Every time a Gangrel frenzies, she acquires a temporary animal characteristic (which may replace an existing temporary one). A patch of fur, a brief torpor after feeding, or skittishness around crowds — all of these may mar an Outlander after frenzy. Characteristics acquired in Gangrel frenzies need not only be physical – they can be behavioral as well. Players should work with the Storyteller to determine what new animal trait is acquired (whether the frenzy involved the fight-or-flight impulse may be relevant). Over time, or in an exceptional situation, a particular animal feature may become permanent, with the next frenzy adding a new feature. A good guideline is to require each frenzy-gained trait to have some effect grounded in system terms (such as the temporary reduction of Social Attribute dots or a permanent loss of Humanity), though some Storytellers may allow narrative-only traits that can shape the story.	Toda vez que uma Gangrel entra em frenesi, ela adquire uma característica animal temporária (que pode substituir uma temporária já existente). Um tufo de pelos, um breve torpor depois de se alimentar ou nervosismo perto de multidões: tudo isso pode marcar uma Forasteira após o frenesi. As características adquiridas nos frenesis Gangrel não precisam ser só físicas; podem ser comportamentais. Os jogadores devem definir com o Narrador que novo traço animal foi adquirido (se o frenesi envolveu o impulso de lutar ou fugir pode ser relevante). Com o tempo, ou numa situação excepcional, um traço animal pode se tornar permanente, e o frenesi seguinte acrescenta outro. Uma boa diretriz é exigir que cada traço ganho em frenesi tenha algum efeito em termos de sistema (como a redução temporária de pontos de Atributo Social ou a perda permanente de Humanidade), embora alguns Narradores possam permitir traços apenas narrativos que moldem a história.
Giovanni	core	57	The Kiss of a Giovanni vampire causes excruciating pain in mortal vessels who receive it. If the Giovanni isn’t careful, her vessel may die of shock and agony before being wholly exsanguinated. When a Giovanni feeds upon a mortal, she does twice as much damage as the Kiss of another vampire would inflict. For example, if a Giovanni takes one point of blood from a mortal vessel, that victim would suffer two health levels of damage. As a result, they tend to use blood banks and other means of feeding that don’t fight as much.	O Beijo de um vampiro Giovanni causa dor excruciante nos recipientes mortais que o recebem. Se a Giovanni não tomar cuidado, seu recipiente pode morrer de choque e agonia antes de ser totalmente exangue. Quando uma Giovanni se alimenta de um mortal, causa o dobro do dano que o Beijo de outro vampiro causaria. Por exemplo, se uma Giovanni toma um ponto de sangue de um recipiente mortal, a vítima sofre dois níveis de vitalidade de dano. Por isso, eles tendem a usar bancos de sangue e outros meios de alimentação que não resistem tanto.
Lasombra	core	59	Lasombra vampires cast no reflections. Whether in a mirror, in a body of water, on a polished surface, or in the rear-view of a taxicab, the image of the Keeper does not reflect.	Os vampiros Lasombra não têm reflexo. Seja num espelho, numa superfície d’água, numa superfície polida ou no retrovisor de um táxi, a imagem do Guardião não se reflete.
Malkavian	core	61	All members of Clan Malkavian suffer from a permanent, incurable derangement. They may acquire and recover from other derangements, and may spend Willpower to ameliorate the effects of the derangement for a scene, but they can never recover from their original derangement.	Todos os membros do Clã Malkavian sofrem de uma Perturbação permanente e incurável. Podem adquirir outras Perturbações e recuperar-se delas, e podem gastar Força de Vontade para amenizar os efeitos da Perturbação por uma cena, mas nunca se recuperam da Perturbação original.
Nosferatu	core	63	All Nosferatu have an Appearance score of zero, and they may never improve it. Cross it off the character sheet. Dice pools that use the Appearance Trait are inherently difficult for these hideous Kindred.	Todos os Nosferatu têm Aparência zero e nunca podem melhorá-la. Risque-a da ficha de personagem. Paradas de dados que usam a Característica Aparência são inerentemente difíceis para esses Membros hediondos.
Ravnos	core	65	A turbulent history makes the Ravnos slaves to their vices. Each Ravnos has a penchant for some sort of vice — lying, cruelty, or theft, for example. When presented with the opportunity to engage in that vice, the Ravnos must indulge it unless her player succeeds on a Self-Control or Instincts roll (difficulty 6).	Uma história turbulenta faz dos Ravnos escravos de seus vícios. Cada Ravnos tem uma queda por algum tipo de vício: mentir, crueldade ou roubo, por exemplo. Diante da oportunidade de se entregar a esse vício, o Ravnos deve ceder, a menos que seu jogador tenha sucesso num teste de Autocontrole ou Instintos (dificuldade 6).
Toreador	core	67	When a Toreador experiences something truly remarkable — a person, an objet d’art, a lovely sunrise — the player must make a Self-Control or Instincts roll (difficulty 6). Failure means that the Kindred finds herself enthralled by the experience. The dazzled Toreador cannot act for the duration of the scene aside from commenting on or continuing their involvement with whatever has captured their attention. If the experience no longer affects her (whether by moving, being destroyed, or whatever is appropriate to the situation), the captivation ends. Enraptured Toreador may not even defend themselves if attacked, though being wounded allows them to make another Self-Control or Instincts roll.	Quando um Toreador vivencia algo verdadeiramente notável (uma pessoa, um objeto de arte, um belo nascer do sol), o jogador deve fazer um teste de Autocontrole ou Instintos (dificuldade 6). Falha significa que o Membro fica enfeitiçado pela experiência. O Toreador deslumbrado não pode agir durante a cena, exceto para comentar ou continuar envolvido com aquilo que capturou sua atenção. Se a experiência deixa de afetá-lo (por se mover, ser destruída ou o que for adequado à situação), o encantamento termina. Toreador extasiados podem nem mesmo se defender se atacados, embora ser ferido permita um novo teste de Autocontrole ou Instintos.
